sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
242,242,РЫЧАТЬ,ROAR,3,,v,0,"Производить продолжительный звук, издаваемый собакой при угрозе нападения.","To make the prolongated sound produced by a dog or wolf, typically when threating to attack.","Когда собака хочет укусить, она рычит.","When a dog wants to bite, it roars.",160,0,0,final,
243,243,ВЫТЬ,HOWL,3,,v,0,"Производить звук, издаваемый волком или шакалом ночью.",To make the typical sound produced by a wolf or a jackal during the night.,Ночью шакалы воют.,Jackals howl during the night.,161,0,0,final,
244,244,КУКАРЕКАТЬ,CROW,3,,v,0,"Производить звук, издаваемый петухом.",To make the typical sound produced by a rooster.,Петухи кукарекают по утрам.,Roosters crow in the morning.,162,0,0,final,
245,245,ЖУЖЖАТЬ,BUZZ,3,,v,0,"Производить звук, издаваемый насекомыми во время полёта.",To make the sound produced by insects during flight.,"Мухи жужжат, когда летают.",Flies buzz when flying.,163,0,0,final,
246,246,ШИПЕТЬ,HISS,3,,v,0,"Производить звук, издаваемый змеёй.","To make the sound produced by a snake, usually during a threat.","Змеи шипят, когда нападает.",Snakes hiss when attacking.,164,0,0,final,
247,247,ТЕЛО,BODY,4,,n,1480,"Физическая форма, структура человека; совокупность всех конечностей и органов. Отличать от значения ‘мёртвое тело’, ‘труп’.","The physical form, structure of a human being. To be separated from ‘dead body’.",1. После сенокоса болит всё тело. 2. Всё его тело покрыто волдырями.,1. All the body aches after harvesting hay. 2. All the body is covered in blisters.,23,0,0,final,
248,248,БОК,SIDE,4,,n,0,Боковая сторона тела человека.,"The side of a human body. Elicit the anatomical meaning, not the locative meaning.",1. Уложи мальчика на правом боку. 2. После бега у меня болят бока.,1. Put the boy on his right side. 2. My sides ache after running.,28,0,0,final,
249,249,КОЖА,SKIN,4,,n,2613,"Кожа человека. (GLD) Если в языке есть и общее слово для кожи, в том числе используемой как материал, и специальное слово для кожи на теле человека (ср. авар. <i>къехь</i> vs. <i>тІом</i>), сюда вводится второе.","Human skin. (GLD) If the language has separate words for skin in general (including skin used as material) and human skin on the body (cf. Avar <i>qʼexː</i> vs. <i>tʼom</i>), the latter should be entered.",1. Я порезал свою кожу. (GLD) 2. Под кожей человека мышцы и кости. ,1. I cut my skin. (GLD) 2. Under a person’s skin there are muscles and bones.,0,144,76,final,
250,250,ШКУРА МЕЛКОКОПЫТНОГО,HIDE OF GOATS AND SHEEP,4,,n,0,"Шкура овец и коз. В отличие от 250 КОЖА, здесь нужно выбирать слово, способное обозначать кожу как материал (см. контексты).","The hide of goats and sheep. Unlike 250 SKIN, the word chosen here should be able to denote skin as a material (see contexts).","1. Я снял шкуру с овцы. 2. Из овечьих шкур делают X, из коровьих — Y.","1. I removed the hide from the sheep. 2. X is made out of sheep hide, Y is made out of cow hide.",69,0,0,final,
251,251,ШКУРА КРУПНОКОПЫТНОГО,HIDE OF COWS,4,,n,0,"Шкура коров. В отличие от 250 КОЖА, здесь нужно выбирать слово, способное обозначать кожу как материал (см. контексты).","The hide of cows. Unlike 250 SKIN, the word chosen here should be able to denote skin as a material (see contexts).","1. Я снял шкуру с коровы. 2. Из овечьих шкур делают X, из коровьих — Y.","1. I removed the hide from the cow. 2. X is made out of sheep hide, Y is made out of cow hide. ",70,0,0,final,
252,252,ШЕРСТЬ ОВЕЧЬЯ,WOOL OF SHEEP,4,,n,964,Волосяной покров овцы в функции материала для одежды.,"The thick growth of hair that covers a sheep’s body, prepared and used as material for clothes.","1. Я состриг шерсть с овцы. 2. Из овечьей шерсти делают X, из козьей — Y.","1. I cut the hide from a sheep. 2. X is made out of sheep wool, Y is made out of goat wool.",71,0,0,final,
253,253,ШЕРСТЬ КОЗЬЯ,WOOL OF GOATS,4,,n,,Волосяной покров козы в функции материала для одежды.,"The thick growth of hair that covers a goat’s body, prepared and used as material for clothes.","1. Я состриг шерсть с козы. 2. Из овечьей шерсти делают X, из козьей — Y.","1. I cut the hide from a goat. 2. X is made out of sheep wool, Y is made out of goat wool.",72,0,0,final,
254,254,ВОЛОСЫ,HAIR (MASS),4,,n,2648,"Волосы на голове человека. Следует строго отличать от (отдельного) ‘волоска’, ‘волос на теле’ (шерсть, мех) и ‘волос на лице’ (борода, усы). Не путать с конкретизированными типами волос (напр., ‘длинные волосы’, ‘светлые волосы’, ‘курчавые волосы’, разные типы причесок и т. п.). (GLD)","Collective or plural noun, applicable to head hair of human. Should be strictly separated from words that specifically designate ‘a single hair’, ‘body hair (fur)’ or ‘facial hair’. Also to be distinguished from numerous specific kinds of hair (‘long hair’, ‘blonde hair’, ‘curly hair’, various types of coiffures etc.). (GLD)","1. Он дернул его за волосы. 2. У меня волосы лучше растут, чем у него. 3. На голове растут волосы, на лице усы и борода.","1. He pulled him by his hair. 2. My hair grows better than his. 3. Hair grow on the head, moustache and beard grow on the face.",0,68,36,final,
